Date_Time,Power(kW)
2019-01-01 00:00:00,87.65268924310212
2019-01-01 01:00:00,87.65268924310212
2019-01-01 02:00:00,87.06386641261021
2019-01-01 03:00:00,90.48281068603629
2019-01-01 04:00:00,85.24561941276603
2019-01-01 05:00:00,89.29935303244184
2019-01-01 06:00:00,87.22891609931666
2019-01-01 07:00:00,108.79959476294438
2019-01-01 08:00:00,105.21086764509717
2019-01-01 09:00:00,109.44613089241415
2019-01-01 10:00:00,112.4895897988827
2019-01-01 11:00:00,120.8817016095001
2019-01-01 12:00:00,111.37841985491183
2019-01-01 13:00:00,111.32401509444067
2019-01-01 14:00:00,113.81522357007411
2019-01-01 15:00:00,109.94990889384675
2019-01-01 16:00:00,107.44987421332362
2019-01-01 17:00:00,97.49386635657972
2019-01-01 18:00:00,104.05758204196823
2019-01-01 19:00:00,97.36148663943843
2019-01-01 20:00:00,96.70335358518435
2019-01-01 21:00:00,96.70335358518435
2019-01-01 22:00:00,90.47391083255623
2019-01-01 23:00:00,87.68480310697956
2019-01-02 00:00:00,89.6365781645036
2019-01-02 01:00:00,105.66579363335056
2019-01-02 02:00:00,101.94396462104034
2019-01-02 03:00:00,103.79889923896661
2019-01-02 04:00:00,103.408196617069
2019-01-02 05:00:00,108.02884304583597
2019-01-02 06:00:00,103.80964448959467
2019-01-02 07:00:00,136.7009042737051
2019-01-02 08:00:00,223.00782575911737
2019-01-02 09:00:00,232.01553157698274
2019-01-02 10:00:00,256.2928921522254
2019-01-02 11:00:00,264.54570903314067
2019-01-02 12:00:00,325.3127098015431
2019-01-02 13:00:00,271.67156520197824
2019-01-02 14:00:00,283.9439552219064
2019-01-02 15:00:00,293.90721368837757
2019-01-02 16:00:00,270.65525287332224
2019-01-02 17:00:00,241.04017772234621
2019-01-02 18:00:00,202.33021200695734
2019-01-02 19:00:00,153.4303410301694
2019-01-02 20:00:00,140.2820253397707
2019-01-02 21:00:00,122.19511348073529
2019-01-02 22:00:00,110.3612785105795
2019-01-02 23:00:00,103.65323489370255
2019-01-03 00:00:00,104.38772206945852
2019-01-03 01:00:00,113.16138479737968
2019-01-03 02:00:00,111.13960813826193
2019-01-03 03:00:00,108.17109545794052
2019-01-03 04:00:00,109.29064534993245
2019-01-03 05:00:00,106.26952871857529
2019-01-03 06:00:00,104.79358831312888
2019-01-03 07:00:00,153.9535551878049
2019-01-03 08:00:00,217.90657791385343
2019-01-03 09:00:00,255.95059200231495
2019-01-03 10:00:00,262.054506576452
2019-01-03 11:00:00,276.52714270950565
2019-01-03 12:00:00,335.90280105282596
2019-01-03 13:00:00,314.76992015927755
2019-01-03 14:00:00,295.2685176127947
2019-01-03 15:00:00,297.8174383436015
2019-01-03 16:00:00,264.9148031768095
2019-01-03 17:00:00,248.12386786131242
2019-01-03 18:00:00,201.9447857162709
2019-01-03 19:00:00,188.6154851525281
2019-01-03 20:00:00,140.25769567316556
2019-01-03 21:00:00,123.12092580988501
2019-01-03 22:00:00,114.47649479499908
2019-01-03 23:00:00,115.10633134284849
2019-01-04 00:00:00,109.04759595854296
2019-01-04 01:00:00,105.95129395543744
2019-01-04 02:00:00,102.11665656698142
2019-01-04 03:00:00,102.11665656698142
2019-01-04 04:00:00,99.5218267672502
2019-01-04 05:00:00,101.54922026450558
2019-01-04 06:00:00,100.07327985905917
2019-01-04 07:00:00,149.23095358294628
2019-01-04 08:00:00,209.00359747121348
2019-01-04 09:00:00,211.8452567550844
2019-01-04 10:00:00,250.0116487806109
2019-01-04 11:00:00,325.9595713247025
2019-01-04 12:00:00,321.4738070003798
2019-01-04 13:00:00,325.6418800998654
2019-01-04 14:00:00,324.6821654980433
2019-01-04 15:00:00,321.279320851494
2019-01-04 16:00:00,308.83146365141494
2019-01-04 17:00:00,314.7603259647423
2019-01-04 18:00:00,276.01168618682624
2019-01-04 19:00:00,182.08975306377565
2019-01-04 20:00:00,186.54296763754212
2019-01-04 21:00:00,140.2820253397707
2019-01-04 22:00:00,122.38959962962105
2019-01-04 23:00:00,115.4882647544803
2019-01-05 00:00:00,109.09650313692076
2019-01-05 01:00:00,104.38772206945852
2019-01-05 02:00:00,108.04330613515641
2019-01-05 03:00:00,102.1016756203431
2019-01-05 04:00:00,102.9073471307006
2019-01-05 05:00:00,104.41459410064901
2019-01-05 06:00:00,101.40806794967848
2019-01-05 07:00:00,126.70335710928637
2019-01-05 08:00:00,112.05069259433965
2019-01-05 09:00:00,117.2747357043352
2019-01-05 10:00:00,187.38256546790137
2019-01-05 11:00:00,261.1678426262074
2019-01-05 12:00:00,164.75559022643534
2019-01-05 13:00:00,174.03412362638483
2019-01-05 14:00:00,174.10434308297536
2019-01-05 15:00:00,157.80951547454228
2019-01-05 16:00:00,154.6274488921218
2019-01-05 17:00:00,151.40337224879264
2019-01-05 18:00:00,154.9908657246329
2019-01-05 19:00:00,145.0204094649482
2019-01-05 20:00:00,122.19511348073529
2019-01-05 21:00:00,122.19511348073529
2019-01-05 22:00:00,114.85842820663089
2019-01-05 23:00:00,100.52022871188423
2019-01-06 00:00:00,104.54543306876128
2019-01-06 01:00:00,63.68243245438748
2019-01-06 02:00:00,62.99655411977322
2019-01-06 03:00:00,62.99655411977322
2019-01-06 04:00:00,61.993638151958955
2019-01-06 05:00:00,63.90251177551906
2019-01-06 06:00:00,62.42657137007264
2019-01-06 07:00:00,86.19127478415645
2019-01-06 08:00:00,72.82907968287418
2019-01-06 09:00:00,59.36291437847016
2019-01-06 10:00:00,52.64786081936843
2019-01-06 11:00:00,66.30552204518567
